day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_board_clear_p50,gold_in_board_clear_p95,gold_in_board_clear_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,workshop_had_cat_accessory_p50,workshop_had_cat_accessory_p95,workshop_had_cat_accessory_mean,workshop_had_furniture_component_p50,workshop_had_furniture_component_p95,workshop_had_furniture_component_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean
1,1.0,1.0,1,0.0,2.0,0.506,0.0,1.0,0.097,1.0,2.0,0.879,0.0,1.0,0.355,1.0,2.0,0.707,0.0,1.0,0.253,1.0,3.0,1.313,1.0,2.0,0.89,14.0,22.0,14.662,1500.0,1500.0,1500,0.0,1.0,0.28,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,1.0,1.0,1,20.0,20.0,20,2800.0,2800.0,2800,550.0,750.0,572.68,0.0,0.0,0,5.0,5.0,5,1300.0,1300.0,1300,1500.0,1500.0,1500,1.0,1.0,1,300.0,300.0,300,0.0,200.0,60.8,100.0,100.0,89.88,100.0,100.0,72,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,10.0,10.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,1.0,1,0.0,2.0,0.601,0.0,1.0,0.112,1.0,3.0,1.079,0.0,2.0,0.443,1.0,2.0,0.849,0.0,1.0,0.281,2.0,3.0,1.606,1.0,3.0,1.029,15.0,23.0,16.766,1500.0,1500.0,1500,0.0,1.0,0.287,20.0,20.0,14.26,20.0,20.0,20,0.0,0.0,0,2.0,2.0,2,60.0,60.0,54.26,1350.0,1350.0,1350,800.0,1020.0,803.06,0.0,0.0,0,10.0,10.0,10,1300.0,1300.0,1300,1500.0,1500.0,1500,1.0,1.0,0.6,,,,100.0,200.0,72.4,120.0,120.0,107.98,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,12.0,12.0,12,4250.0,4250.0,4250,0.0,1.0,0.104,0.0,1.0,0.239,0.0,1.0,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0,1.0,1,0.0,2.0,0.513,0.0,1.0,0.072,1.0,2.0,0.887,0.0,2.0,0.384,1.0,2.0,0.653,0.0,1.0,0.225,1.0,3.0,1.344,1.0,3.0,0.922,15.0,22.0,15.824,1500.0,1500.0,1500,0.0,1.0,0.314,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,2.0,2.0,2,80.0,80.0,74.26,1150.0,1150.0,1150,1100.0,1400.0,1106.6,0.0,0.0,0,15.0,15.0,15,1300.0,1300.0,1300,1500.0,1500.0,1500,1.0,1.0,0.568,,,,0.0,200.0,60.9,100.0,100.0,89.74,150.0,150.0,102.9,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,10.0,10.0,10,,,,0.0,1.0,0.098,0.0,1.0,0.274,0.0,1.0,0.06,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0,1.0,1,0.0,2.0,0.547,0.0,1.0,0.109,1.0,3.0,1.124,0.0,2.0,0.404,1.0,2.0,0.802,0.0,1.0,0.297,1.5,3.0,1.572,1.0,3.0,1.145,15.0,24.0,16.844,1500.0,1500.0,1500,0.0,1.0,0.316,30.0,30.0,20.52,20.0,20.0,20,0.0,0.0,0,2.0,2.0,2,110.0,130.0,114.78,950.0,950.0,950,1330.0,1650.999999999999,1335.76,0.0,0.0,0,20.0,20.0,20,1300.0,1300.0,1300,1500.0,1500.0,1500,1.0,1.0,0.614,,,,100.0,200.0,70.1,120.0,120.0,109.06,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,12.0,12.0,12,,,,0.0,1.0,0.092,0.0,1.0,0.244,0.0,0.049999999999954525,0.05,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0,1.0,1,0.0,2.0,0.511,0.0,1.0,0.094,1.0,2.0,0.911,0.0,1.0,0.379,0.0,2.0,0.629,0.0,1.0,0.231,1.0,3.0,1.327,1.0,2.0,0.918,14.0,22.0,15.866,1500.0,1500.0,1500,0.0,1.0,0.297,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,2.0,2.0,2,130.0,150.0,134.78,750.0,750.0,750,1670.0,2040.0,1677.14,0.0,0.0,0,25.0,25.0,25,1300.0,1300.0,1300,1500.0,1500.0,1500,1.0,1.0,0.607,,,,0.0,200.0,61,100.0,100.0,89.78,200.0,200.0,140.6,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,10.0,10.0,10,,,,0.0,1.0,0.094,0.0,1.0,0.247,0.0,1.0,0.052,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0,1.0,1,0.0,2.0,0.595,0.0,1.0,0.129,1.0,3.0,1.167,0.0,2.0,0.395,1.0,2.0,0.799,0.0,1.0,0.261,1.0,3.0499999999999545,1.584,1.0,3.0,1.07,11.0,19.0,12.206,1500.0,1500.0,1500,0.0,1.0,0.33,40.0,40.0,26.8,20.0,20.0,20,0.0,0.0,0,2.0,2.0,2,180.0,210.0,181.58,550.0,550.0,550,1890.0,2290.0,1900.84,0.0,0.0,0,30.0,30.0,30,1300.0,1300.0,1300,1500.0,1500.0,1500,1.0,1.0,0.569,,,,0.0,200.0,65.6,120.0,120.0,108.1,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,12.0,12.0,12,,,,0.0,1.0,0.102,0.0,1.0,0.285,0.0,0.0,0.044,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0,1.0,1,0.0,2.0,0.456,0.0,1.0,0.075,1.0,2.0,0.908,0.0,1.0499999999999545,0.357,1.0,2.0,0.681,0.0,1.0,0.194,1.0,3.0,1.433,1.0,2.0,0.896,14.0,22.0,14.433,1500.0,1500.0,1500,0.0,1.0,0.28,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,2.0,2.0,2,200.0,230.0,201.58,350.0,350.0,350,2640.0,3080.4999999999995,2618.82,0.0,0.0,0,0.0,0.0,0,1300.0,1300.0,1300,1500.0,1500.0,1500,1.0,1.0,0.617,200.0,200.0,200,0.0,200.0,55.1,100.0,100.0,90.88,350.0,350.0,252,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,70.0,70.0,56,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,10.0,10.0,10,,,,0.0,1.0,0.08,0.0,1.0,0.248,0.0,1.0,0.055,3000.0,3000.0,3000,70.0,70.0,70,50.0,50.0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0,1.0,1,0.0,2.0,0.475,0.0,1.0,0.073,1.0,2.0,0.91,0.0,1.0,0.348,1.0,2.0,0.671,0.0,1.0,0.234,1.0,3.0,1.411,1.0,2.0,0.878,10.0,17.0,10.707,1500.0,1500.0,1500,0.0,1.0,0.31,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,2.0,2.0,2,220.0,250.0,221.58,1150.0,1150.0,1150,2860.0,3310.4999999999995,2836.52,0.0,3.0,0.996,0.0,0.0,0,800.0,800.0,800,1500.0,1500.0,1500,1.0,1.0,0.607,,,,0.0,200.0,58.2,100.0,100.0,90.5,100.0,100.0,69,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,,,,0.0,1.0,0.105,0.0,1.0,0.236,0.0,1.0,0.052,,,,,,,,,,1500.0,1500.0,1500,0.0,3.0,0.996,0.0,1.0,0.349,0.0,1.0,0.332,0.0,1.0,0.319,0.0,1.0,0.349,0.0,1.0,0.319,,,,,,,,,
9,1.0,1.0,1,0.0,2.0,0.521,0.0,1.0,0.082,1.0,2.0,0.925,0.0,1.0,0.342,1.0,2.0,0.697,0.0,1.0,0.226,1.0,3.0,1.324,1.0,2.0,0.883,9.0,18.0,10.727,1500.0,1500.0,1500,0.0,1.0,0.306,20.0,20.0,13.88,20.0,20.0,20,1.0,1.0,1,2.0,2.0,2,260.0,290.0,255.46,450.0,450.0,450,3000.0,3460.0,2982.9,0.0,3.0,0.996,0.0,0.0,0,800.0,800.0,800,1500.0,1500.0,1500,1.0,1.0,0.618,,,,0.0,200.0,56.8,100.0,100.0,89.58,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,,,,0.0,1.0,0.103,0.0,1.0,0.232,0.0,0.0,0.047,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0,1.0,1,0.0,2.0,0.52,0.0,1.0,0.08,1.0,2.0,0.891,0.0,1.0,0.368,1.0,2.0,0.665,0.0,1.0,0.231,1.0,3.0,1.34,1.0,2.0,0.905,9.0,17.0,10.706,1500.0,1500.0,1500,0.0,1.0,0.295,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,2.0,2.0,2,280.0,310.0,275.46,1250.0,1250.0,1250,3260.0,3750.0,3238.15,3.0,6.0,1.974,0.0,0.0,0,800.0,800.0,800,1500.0,1500.0,1500,1.0,1.0,0.613,,,,0.0,200.0,59.9,100.0,100.0,89.6,150.0,150.0,105.75,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,,,,0.0,1.0,0.118,0.0,1.0,0.237,0.0,0.0,0.032,,,,,,,,,,1500.0,1500.0,1500,0.0,3.0,0.978,0.0,1.0,0.336,0.0,1.0,0.326,0.0,1.0,0.338,0.0,1.0,0.336,0.0,1.0,0.338,,,,,,,,,
