day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
1,2.0,2.0,2,0.0,2.0,0.492,0.0,1.0,0.103,1.0,2.0,0.895,0.0,2.0,0.356,1.0,2.0,0.706,0.0,1.0,0.249,1.0,3.0,1.312,1.0,2.0,0.887,14.0,22.0,14.727,1500.0,1500.0,1500,0.0,1.0,0.28,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,2.0,2.0,2,20.0,20.0,20,50.0,50.0,50,450.0,650.0,482.5,0.0,0.0,0,5.0,5.0,5,1300.0,1300.0,1300,3000.0,3000.0,3000,4250.0,4250.0,4250,1.0,1.0,1,300.0,300.0,300,0.0,200.0,60.5,100.0,100.0,72,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,10.0,10.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,2.0,2,0.0,2.0,0.597,0.0,1.0,0.108,1.0,3.0,1.052,0.0,2.0,0.442,1.0,2.0,0.837,0.0,1.0,0.274,2.0,3.0499999999999545,1.61,1.0,3.0,1.08,15.0,23.0,16.706,1500.0,1500.0,1500,0.0,1.0,0.295,20.0,20.0,14.1,20.0,20.0,20,0.0,0.0,0,3.0,3.0,3,60.0,60.0,54.1,100.0,100.0,100,600.0,800.0,604.1,0.0,0.0,0,10.0,10.0,10,1300.0,1300.0,1300,3000.0,3000.0,3000,4250.0,4250.0,4250,1.0,1.0,0.616,,,,100.0,200.0,71.6,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,12.0,12.0,12,0.0,1.0,0.091,0.0,1.0,0.231,0.0,1.0,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.0,2.0,2,0.0,2.0,0.493,0.0,1.0,0.099,1.0,2.0,0.903,0.0,1.0,0.362,1.0,2.0,0.651,0.0,1.0,0.241,1.0,3.0,1.308,1.0,3.0,0.943,15.0,23.0,16.006,1800.0,1800.0,1679.4,0.0,1.0,0.3,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,4.0,4.0,4,80.0,80.0,74.82,150.0,150.0,150,800.0,1100.0,819.4,0.0,0.0,0,15.0,15.0,15,1300.0,1300.0,1300,3000.0,3000.0,3000,4250.0,4250.0,4250,1.0,1.0,0.585,,,,0.0,200.0,60.3,150.0,150.0,105,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.095,0.0,1.0,0.262,0.0,1.0,0.058,0.0,0.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2.0,2.0,2,0.0,2.0,0.586,0.0,1.0,0.11,1.0,3.0,1.083,0.0,2.0,0.438,1.0,2.0,0.753,0.0,1.0,0.277,2.0,4.0,1.62,1.0,3.0,1.133,15.0,23.0,16.854,1800.0,1800.0,1672.5,0.0,1.0,0.285,30.0,30.0,21.45,20.0,20.0,20,0.0,0.0,0,5.0,5.0,5,130.0,160.0,119.66,200.0,200.0,200,950.0,1250.0,940.9,0.0,0.0,0,20.0,20.0,20,1300.0,1300.0,1300,3000.0,3000.0,3000,4250.0,4250.0,4250,1.0,1.0,0.594,,,,100.0,200.0,71.5,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,12.0,12.0,12,0.0,1.0,0.089,0.0,1.0,0.255,0.0,1.0,0.062,0.0,30.0,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.0,2.0,2,0.0,2.0,0.503,0.0,1.0,0.096,1.0,2.0,0.912,0.0,1.0499999999999545,0.364,0.0,2.0,0.653,0.0,1.0,0.254,1.0,3.0,1.319,1.0,2.0,0.899,15.0,22.0,15.942,1800.0,1800.0,1678.5,0.0,1.0,0.317,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,6.0,6.0,6,150.0,180.0,144.55,250.0,250.0,250,1200.0,1600.0,1189.3,0.0,0.0,0,25.0,25.0,25,1300.0,1300.0,1300,3000.0,3000.0,3000,4250.0,4250.0,4250,1.0,1.0,0.605,,,,0.0,200.0,61.8,200.0,200.0,136.6,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.08,0.0,1.0,0.259,0.0,1.0,0.056,0.0,30.0,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.0,2.0,2,0.0,2.0,0.554,0.0,1.0,0.096,1.0,3.0,1.09,0.0,1.0,0.397,1.0,2.0,0.809,0.0,1.0,0.261,2.0,3.0499999999999545,1.709,1.0,3.0,1.084,11.0,18.0,11.871,1800.0,2250.0,1725.15,0.0,1.0,0.281,40.0,40.0,28.76,20.0,20.0,20,0.0,0.0,0,7.0,7.0,7,210.0,240.0,198.53,300.0,300.0,300,1300.0,1702.4999999999977,1305.1,0.0,0.0,0,30.0,30.0,30,1300.0,1300.0,1300,3000.0,3000.0,3000,4250.0,4250.0,4250,1.0,1.0,0.593,,,,0.0,200.0,65.8,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,12.0,12.0,12,0.0,1.0,0.098,0.0,1.0,0.263,0.0,0.0,0.046,0.0,30.0,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2.0,2.0,2,0.0,2.0,0.519,0.0,1.0,0.099,1.0,2.0,0.865,0.0,1.0,0.35,1.0,2.0,0.7,0.0,1.0,0.216,1.0,3.0,1.377,1.0,2.0,0.874,14.0,22.0,14.572,1800.0,2250.0,1781.4,0.0,1.0,0.281,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,8.0,8.0,8,230.0,260.0,223.21,350.0,350.0,350,1920.0,2420.0,1933.35,0.0,0.0,0,0.0,0.0,0,1300.0,1300.0,1300,3000.0,3000.0,3000,4250.0,4250.0,4250,1.0,1.0,0.602,200.0,200.0,200,0.0,200.0,56.6,350.0,350.0,251.65,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,70.0,70.0,55.95,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.093,0.0,1.0,0.254,0.0,1.0,0.051,0.0,30.0,4.68,70.0,70.0,70,50.0,50.0,35.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.0,2.0,2,0.0,2.0,0.494,0.0,1.0,0.087,1.0,2.0,0.872,0.0,1.0,0.357,1.0,2.0,0.696,0.0,1.0,0.202,1.0,3.0,1.42,1.0,2.0,0.872,10.0,18.0,10.848,1500.0,1500.0,1513.8,0.0,1.0,0.306,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,8.0,8.0,8,250.0,280.0,243.21,1150.0,1150.0,1150,2070.0,2520.0,2058.65,0.0,0.0,0,0.0,0.0,0,800.0,800.0,800,3000.0,3000.0,3000,,,,1.0,1.0,0.616,,,,0.0,200.0,55.9,100.0,100.0,69.4,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.092,0.0,1.0,0.241,0.0,1.0,0.051,,,,,,,,,,3000.0,3000.0,3000,,,,,,,,,,,,,,,,,,,,,,,,
9,2.0,2.0,2,0.0,2.0,0.516,0.0,1.0,0.08,1.0,2.0,0.922,0.0,1.0,0.359,1.0,2.0,0.668,0.0,1.0,0.233,1.0,3.0,1.326,1.0,2.0,0.896,10.0,17.0,10.907,1800.0,2250.0,1831.8,0.0,1.0,0.317,20.0,20.0,13.66,20.0,20.0,20,1.0,1.0,1,9.0,9.0,9,280.0,320.0,281.04,700.0,700.0,700,2120.0,2620.0,2117.85,0.0,0.0,0,0.0,0.0,0,800.0,800.0,800,3000.0,3000.0,3000,4250.0,4250.0,4250,1.0,1.0,0.59,,,,0.0,200.0,59.2,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.083,0.0,1.0,0.275,0.0,1.0,0.052,0.0,30.0,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.0,2.0,2,0.0,2.0,0.483,0.0,1.0,0.101,1.0,2.0,0.939,0.0,1.0499999999999545,0.373,1.0,2.0,0.684,0.0,1.0,0.223,1.0,3.0,1.323,1.0,2.0,0.874,10.0,18.0,10.924,1800.0,2250.0,1862.1,0.0,1.0,0.3,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,10.0,10.0,10,310.0,340.0,303.5,250.0,250.0,250,2270.0,2770.0,2282.45,0.0,0.0,0,0.0,0.0,0,800.0,800.0,800,3000.0,3000.0,3000,4250.0,4250.0,4250,1.0,1.0,0.617,,,,0.0,200.0,59.6,150.0,150.0,105,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.093,0.0,1.0,0.239,0.0,1.0,0.051,0.0,30.0,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
