day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_board_clear_p50,gold_in_board_clear_p95,gold_in_board_clear_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,workshop_had_cat_accessory_p50,workshop_had_cat_accessory_p95,workshop_had_cat_accessory_mean,workshop_had_furniture_component_p50,workshop_had_furniture_component_p95,workshop_had_furniture_component_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
1,2.0,2.0,2,0.0,2.0,0.596,0.0,1.0,0.12,1.0,3.0,1.077,0.0,2.0,0.434,1.0,2.0,0.848,0.0,1.0,0.295,1.0,3.0,1.558,1.0,3.0,1.072,10.0,18.0,10.635,5000.0,5000.0,5000,0.0,1.0,0.105,0.0,0.0,0,1.0,1.0,0.895,2.0,2.0,2,0.0,0.0,0,950.0,950.0,950,520.0,670.0,525.73,0.0,0.0,0,25.0,25.0,25,5200.0,5200.0,5200,3000.0,3000.0,3000,4250.0,4250.0,4250,3000.0,3000.0,3000,1.0,1.0,1,300.0,300.0,300,100.0,200.0,72.9,120.0,120.0,108.08,100.0,100.0,89.5,50.0,50.0,50,100.0,100.0,94.75,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,1.895,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,12.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,2.0,2,1.0,2.0,0.699,0.0,1.0,0.106,1.0,3.0,1.223,0.0,2.0,0.528,1.0,3.0,0.931,0.0,1.0,0.333,2.0,4.0,1.822,1.0,3.0,1.253,11.0,19.0,12.443,5000.0,5000.0,5000,0.0,1.0,0.104,20.0,20.0,17.92,0.0,1.0,0.105,4.0,4.0,4,20.0,20.0,18.49,650.0,650.0,650,860.0,1120.0,885.75,0.0,0.0,0,50.0,50.0,50,5200.0,5200.0,5200,3000.0,3000.0,3000,8500.0,8500.0,8500,,,,1.0,1.0,0.595,200.0,200.0,200,100.0,200.0,86.1,120.0,140.0,123.92,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,14.0,14.0,13.79,0.0,0.0,0.57,0.0,1.0,0.105,0.0,1.0,0.252,0.0,0.0,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.0,2.0,2,0.0,2.0,0.591,0.0,1.0,0.098,1.0,3.0,1.15,0.0,2.0,0.407,1.0,2.0,0.824,0.0,1.0,0.287,2.0,3.0,1.632,1.0,3.0,1.116,11.0,18.0,11.764,6000.0,6000.0,5606,0.0,1.0,0.097,0.0,0.0,0,1.0,1.0,0.895,6.0,6.0,6,20.0,50.0,27.04,350.0,350.0,350,1140.0,1410.4999999999995,1150.88,0.0,0.0,0,75.0,75.0,75,5200.0,5200.0,5200,3000.0,3000.0,3000,8500.0,8500.0,8500,,,,1.0,1.0,0.622,,,,100.0,200.0,69.4,120.0,140.0,110.28,150.0,150.0,135.45,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,14.0,12.21,0.0,30.0,8.55,0.0,1.0,0.103,0.0,1.0,0.232,0.0,0.0,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2.0,2.0,2,1.0,2.0,0.714,0.0,1.0,0.124,1.0,3.0,1.25,0.0,2.0,0.508,1.0,3.0,0.937,0.0,1.0,0.323,2.0,4.0,1.798,1.0,3.0,1.241,11.0,20.0,12.627,6000.0,6000.0,5595,0.0,1.0,0.11,30.0,30.0,26.7,0.0,1.0,0.105,8.0,8.0,8,50.0,80.0,61,50.0,50.0,50,1300.0,1630.0,1307.6,0.0,0.0,0,100.0,100.0,100,5200.0,5200.0,5200,3000.0,3000.0,3000,8500.0,8500.0,8500,,,,1.0,1.0,0.606,,,,100.0,200.0,83.1,120.0,140.0,123.62,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,14.0,14.0,13.79,0.0,30.0,7.26,0.0,1.0,0.074,0.0,1.0,0.257,0.0,1.0,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.0,2.0,2,0.0,2.0,0.56,0.0,1.0,0.102,1.0,3.0,1.113,0.0,2.0,0.405,1.0,2.0,0.837,0.0,1.0,0.265,2.0,4.0,1.726,1.0,3.0,1.097,11.0,19.0,11.901,6000.0,6000.0,5619,0.0,1.0,0.092,0.0,0.0,0,1.0,1.0,0.895,9.0,9.0,9,80.0,80.0,63.49,1000.0,1000.0,1000,1600.0,1940.0,1617.1,0.0,0.0,0,125.0,125.0,125,5200.0,5200.0,5200,3000.0,3000.0,3000,4250.0,4250.0,4250,3000.0,3000.0,3000,1.0,1.0,0.6,,,,100.0,200.0,67,120.0,120.99999999999909,110.9,200.0,200.0,181.6,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,14.0,12.21,0.0,30.0,2.49,0.0,1.0,0.114,0.0,1.0,0.242,0.0,0.0,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.0,2.0,2,1.0,2.0,0.69,0.0,1.0,0.124,1.0,3.0,1.218,0.0,2.0,0.511,1.0,3.0,0.985,0.0,1.0,0.302,2.0,4.0,1.852,1.0,3.0,1.213,6.0,14.0,7.594,5000.0,5000.0,5000,0.0,1.0,0.08,40.0,40.0,36.8,0.0,1.0,0.105,11.0,11.0,11,120.0,120.0,104.64,700.0,700.0,700,1770.0,2140.4999999999995,1772.5,0.0,0.0,0,150.0,150.0,150,5200.0,5200.0,5200,3000.0,3000.0,3000,8500.0,8500.0,8500,,,,1.0,1.0,0.608,,,,100.0,200.0,81.3,120.0,140.0,124.1,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,,,,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,14.0,14.0,13.79,0.0,30.0,4.35,0.0,1.0,0.109,0.0,1.0,0.242,0.0,0.0,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2.0,2.0,2,0.0,2.0,0.63,0.0,1.0,0.09,1.0,3.0,1.106,0.0,2.0,0.451,1.0,2.0,0.799,0.0,1.0,0.271,2.0,4.0,1.624,1.0,3.0,1.134,10.0,18.0,11.193,5000.0,5000.0,5000,0.0,1.0,0.097,0.0,0.0,0,1.0,1.0,0.895,13.0,13.0,13,120.0,120.0,107.31,400.0,400.0,400,2570.0,2980.4999999999995,2570.25,0.0,0.0,0,0.0,0.0,0,5200.0,5200.0,5200,3000.0,3000.0,3000,8500.0,8500.0,8500,,,,1.0,1.0,0.601,,,,100.0,200.0,72.2,120.0,120.99999999999909,109.5,350.0,350.0,316.05,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,50.0,50.0,45.15,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,14.0,12.21,0.0,30.0,2.67,0.0,1.0,0.11,0.0,1.0,0.241,0.0,0.0,0.048,350.0,350.0,350,50.0,50.0,45.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.0,2.0,2,0.0,2.0,0.556,0.0,1.0,0.114,1.0,3.0,1.12,0.0,2.0,0.445,1.0,2.0,0.805,0.0,1.0,0.288,2.0,4.0,1.62,1.0,3.0,1.052,5.0,14.0,6.783,5000.0,6000.0,5219,0.0,1.0,0.124,0.0,0.0,0,1.0,1.0,0.895,14.0,14.0,14,120.0,120.0,108.3,850.0,850.0,850,2740.0,3180.0,2740.03,0.0,0.0,0,0.0,0.0,0,4700.0,4700.0,4700,3000.0,3000.0,3000,4250.0,4250.0,4250,3000.0,3000.0,3000,1.0,1.0,0.621,,,,100.0,200.0,73.3,120.0,120.0,108.88,100.0,100.0,87.6,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,0.99,0.0,1.0,0.102,0.0,1.0,0.232,0.0,0.0,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.0,2.0,2,1.0,2.0,0.662,0.0,1.0,0.086,1.0,3.0,1.074,0.0,2.0,0.449,1.0,2.0,0.825,0.0,1.0,0.252,1.0,3.0,1.522,1.0,3.0,1.13,5.0,13.0,6.505,6000.0,6000.0,5659,0.0,1.0,0.116,20.0,20.0,17.68,1.0,1.0,0.895,16.0,16.0,16,170.0,170.0,157.09,50.0,50.0,50,2810.0,3300.0,2816.89,0.0,0.0,0,0.0,0.0,0,4700.0,4700.0,4700,3000.0,3000.0,3000,8500.0,8500.0,8500,,,,1.0,1.0,0.599,,,,100.0,200.0,70.1,100.0,120.0,106.76,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,30.0,30.0,31.11,0.0,1.0,0.101,0.0,1.0,0.236,0.0,1.0,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.0,2.0,2,0.0,2.0,0.591,0.0,1.0,0.091,1.0,3.0,1.105,0.0,2.0,0.421,1.0,2.0,0.804,0.0,1.0,0.255,2.0,4.0,1.672,1.0,3.0,1.061,5.0,13.0,6.711,6000.0,6000.0,5942,0.0,1.0,0.101,0.0,0.0,0,1.0,1.0,0.895,17.0,17.0,17,170.0,170.0,158.39,500.0,500.0,500,3030.0,3510.0,3027.52,0.0,0.0,0,0.0,0.0,0,4700.0,4700.0,4700,3000.0,3000.0,3000,4250.0,4250.0,4250,3000.0,3000.0,3000,1.0,1.0,0.613,,,,100.0,200.0,67.6,120.0,120.0,108.18,150.0,150.0,134.85,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,0.0,0.0,1.3,0.0,1.0,0.092,0.0,1.0,0.25,0.0,0.0,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
