day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_decor_kept_cat_tree_p50,board_decor_kept_cat_tree_p95,board_decor_kept_cat_tree_mean,board_decor_kept_cherry_tree_p50,board_decor_kept_cherry_tree_p95,board_decor_kept_cherry_tree_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,workshop_box_opened_p50,workshop_box_opened_p95,workshop_box_opened_mean,workshop_gift_accessory_p50,workshop_gift_accessory_p95,workshop_gift_accessory_mean,workshop_gift_flower_p50,workshop_gift_flower_p95,workshop_gift_flower_mean,diamonds_in_board_milestone_p50,diamonds_in_board_milestone_p95,diamonds_in_board_milestone_mean,love_petals_in_workshop_dupe_p50,love_petals_in_workshop_dupe_p95,love_petals_in_workshop_dupe_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean
1,0.0,0.0,0,0.0,1.0,0.12,1.0,2.0,0.7,0.0,1.0,0.34,0.0,1.0,0.22,1.0,3.0,1.48,1.0,2.0,0.7,1.0,4.0,1.3,0.0,2.0,0.42,2.0,4.0,2.1,2.0,4.0,1.66,12.0,20.549999999999997,13.52,1500.0,1500.0,1500,0.0,1.0,0.24,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,2.0,2.0,2,20.0,20.0,20,480.0,480.0,480,450.0,477.4999999999999,430,0.0,0.0,0,5.0,5.0,5,1980.0,1980.0,1980,1500.0,1500.0,1500,1.0,1.0,1,300.0,300.0,300,0.0,50.0,4,100.0,100.0,76,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,8.0,8.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0,0.0,1.0,0.22,1.0,2.0,0.92,0.0,1.0,0.24,0.0,1.0,0.28,1.5,3.549999999999997,1.66,1.0,2.0,0.98,1.0,3.0,1.22,0.0,1.0,0.3,2.0,4.0,2.18,1.0,3.0,1.16,13.0,24.0,15.04,1500.0,1500.0,1500,0.0,1.0,0.32,20.0,20.0,13.6,20.0,20.0,20,0.0,0.0,0,2.0,2.0,2,60.0,60.0,53.6,2460.0,2460.0,2460,500.0,550.0,486,0.0,0.0,0,10.0,10.0,10,1980.0,1980.0,1980,,,,1.0,1.0,0.62,,,,0.0,50.0,6,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,8.0,8.0,8,0.0,1.0,0.08,0.0,1.0,0.26,0.0,0.0,0.04,1.0,1.0,1,1.0,1.0,0.72,0.0,1.0,0.28,,,,,,,,,,,,,,,
3,0.0,0.0,0,0.0,1.0,0.42,0.0,1.0,0.44,0.0,1.0,0.14,0.0,2.0,0.38,2.0,3.549999999999997,1.86,0.0,2.0,0.6,1.0,2.0,1.12,0.0,2.549999999999997,0.62,1.0,3.549999999999997,1.56,1.0,3.0,1.44,15.0,25.549999999999997,16.4,1500.0,1500.0,1500,0.0,1.0,0.22,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,3.0,3.0,3,80.0,80.0,73.6,1940.0,1940.0,1940,700.0,800.0,685,0.0,0.0,0,15.0,15.0,15,1980.0,1980.0,1980,2500.0,2500.0,2500,1.0,1.0,0.52,,,,0.0,100.0,32,150.0,150.0,117,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,8.0,8.0,8,0.0,0.0,0.04,0.0,1.0,0.4,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0,0.0,1.5499999999999972,0.44,0.0,2.0,0.56,0.0,1.0,0.1,0.0,1.0,0.26,2.0,4.0,1.76,1.0,2.0,1.04,1.0,3.0,1.28,0.0,2.549999999999997,0.58,1.0,3.0,1.24,1.0,3.0,1.4,12.0,22.64999999999999,13.92,1500.0,1500.0,1500,0.0,1.0,0.26,30.0,30.0,22.2,20.0,20.0,20,0.0,0.0,0,4.0,4.0,4,160.0,160.0,145.8,420.0,420.0,420,800.0,950.0,783,0.0,10.0,0.8,20.0,20.0,20,1980.0,1980.0,1980,3500.0,3500.0,3500,1.0,1.0,0.68,,,,50.0,150.0,48,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,8.0,8.0,8,0.0,1.0,0.1,0.0,1.0,0.18,0.0,0.0,0.04,1.0,1.0,1,1.0,1.0,0.72,0.0,1.0,0.2,30.0,30.0,30,0.0,10.0,0.8,,,,,,,,,
5,0.0,0.0,0,0.0,1.5499999999999972,0.46,0.0,1.0,0.22,0.0,1.0,0.14,0.0,1.0,0.36,2.0,4.0,1.78,1.0,2.549999999999997,0.84,1.0,2.0,0.98,1.0,2.0,0.72,2.0,3.0,1.52,1.0,3.0,1.34,12.0,25.549999999999997,14.86,1500.0,1500.0,1500,0.0,1.0,0.34,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,4.0,4.0,4,180.0,180.0,165.8,2400.0,2400.0,2400,1000.0,1350.0,1025,0.0,10.0,0.8,25.0,25.0,25,1980.0,1980.0,1980,,,,1.0,1.0,0.62,,,,50.0,150.0,60,200.0,200.0,132,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,8.0,8.0,8,0.0,1.0,0.16,0.0,1.0,0.2,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0,0.0,1.5499999999999972,0.36,0.0,1.0,0.1,,,,0.0,1.5499999999999972,0.32,2.0,4.0,2.08,1.0,2.549999999999997,0.84,1.0,3.0,1.14,1.0,2.0,0.68,1.0,3.0,1.3,1.0,3.0,1.28,12.5,27.099999999999994,14.98,1500.0,1500.0,1500,0.0,1.0,0.38,40.0,40.0,24.8,20.0,20.0,20,0.0,0.0,0,5.0,5.0,5,210.0,240.0,213.6,130.0,130.0,130,1150.0,1450.0,1146,0.0,10.0,2.4,30.0,30.0,30,1980.0,1980.0,1980,4250.0,4250.0,4250,1.0,1.0,0.54,,,,50.0,177.49999999999986,71,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,8.0,8.0,8,0.0,1.0,0.14,0.0,1.0,0.26,0.0,0.5499999999999972,0.06,1.0,1.0,1,1.0,1.0,0.6,0.0,1.0,0.24,,,,0.0,10.0,1.6,0.0,30.0,3,,,,,,
7,0.0,0.0,0,0.0,1.0,0.36,0.0,0.5499999999999972,0.06,0.0,0.0,0.02,0.0,1.5499999999999972,0.44,2.0,4.0,1.9,1.0,2.0,0.76,1.0,3.0,1.1,0.0,2.0,0.6,1.0,4.0,1.44,1.0,3.549999999999997,1.4,18.0,28.549999999999997,19.2,1500.0,1500.0,1500,0.0,1.0,0.44,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,5.0,5.0,5,260.0,290.0,263.6,2110.0,2110.0,2110,1745.0,2220.0,1726,0.0,10.0,2.4,0.0,0.0,0,1980.0,1980.0,1980,,,,1.0,1.0,0.54,200.0,200.0,200,50.0,177.49999999999986,64,350.0,350.0,196,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,70.0,70.0,48,5.0,5.0,5,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,8.0,8.0,8,0.0,1.0,0.1,0.0,1.0,0.32,0.0,0.0,0.04,,,,,,,,,,30.0,30.0,30,,,,,,,70.0,70.0,70,50.0,50.0,28
8,0.0,0.0,0,0.0,1.0,0.32,,,,0.0,0.0,0.02,0.0,1.5499999999999972,0.42,1.0,3.0,1.38,1.0,2.0,1.16,1.0,2.0,1,0.0,2.0,0.48,1.0,3.0,1.04,1.0,3.0,1.2,15.0,25.549999999999997,14.7,1500.0,1500.0,1500,0.0,1.0,0.28,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,5.0,5.0,5,280.0,310.0,283.6,3760.0,3760.0,3760,1920.0,2470.0,1929,0.0,15.499999999999972,3.4,0.0,0.0,0,1650.0,1650.0,1650,,,,1.0,1.0,0.64,,,,100.0,150.0,81,100.0,100.0,72,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,23,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,7.0,7.0,7,0.0,0.0,0.04,0.0,1.0,0.24,0.0,1.0,0.08,1.0,1.0,1,1.0,1.0,0.58,0.0,1.0,0.3,,,,0.0,10.0,4,,,,,,,,,
9,0.0,0.0,0,0.0,1.5499999999999972,0.4,,,,,,,0.0,1.0,0.32,1.0,3.0,1.44,1.0,2.0,0.62,1.0,3.0,1.14,0.0,2.0,0.56,1.0,3.0,1.22,1.0,2.549999999999997,1.3,11.0,24.549999999999997,14.38,1500.0,1500.0,1500,0.0,1.0,0.32,20.0,20.0,13.6,20.0,20.0,20,0.0,0.0,0,6.0,6.0,6,320.0,360.0,320.8,1160.0,1160.0,1160,1995.0,2570.0,2038,0.0,15.499999999999972,3.4,0.0,0.0,0,1650.0,1650.0,1650,4250.0,4250.0,4250,1.0,1.0,0.52,,,,50.0,150.0,59,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,7.0,7.0,7,0.0,1.0,0.1,0.0,1.0,0.28,0.0,1.0,0.1,,,,,,,,,,,,,,,,0.0,30.0,3.6,,,,,,
10,0.0,0.0,0,0.0,1.0,0.34,,,,,,,0.0,1.0,0.4,1.0,3.0,1.3,1.0,3.0,1.02,1.0,2.0,0.86,0.0,2.0,0.58,1.0,3.549999999999997,1.24,1.0,3.0,1.26,13.5,23.549999999999997,14.86,1500.0,1500.0,1500,0.0,1.0,0.26,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,6.0,6.0,6,340.0,380.0,340.8,2810.0,2810.0,2810,2570.0,3120.0,2579,0.0,20.0,6.3,0.0,0.0,0,1650.0,1650.0,1650,,,,1.0,1.0,0.6,300.0,300.0,300,100.0,150.0,80,150.0,150.0,111,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,7.0,7.0,7,0.0,1.0,0.08,0.0,1.0,0.32,,,,1.0,1.0,1,0.0,1.0,0.44,0.0,1.0,0.3,,,,0.0,10.0,2.9,,,,,,,,,
