day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean
1,3.0,3.0,3,0.0,2.0,0.5,0.0,1.0,0.095,1.0,2.0,0.9,0.0,1.0,0.372,1.0,2.0,0.716,0.0,1.0,0.228,1.0,3.0,1.311,1.0,2.0,0.878,14.0,22.0,14.66,1500.0,1500.0,1500,0.0,1.0,0.28,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,3.0,3.0,3,20.0,20.0,20,1800.0,1800.0,1800,450.0,650.0,482,0.0,0.0,0,5.0,5.0,5,1300.0,1300.0,1300,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,1,300.0,300.0,300,0.0,200.0,60,100.0,100.0,72,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,10.0,10.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,3.0,3,0.0,2.0,0.595,0.0,1.0,0.095,1.0,3.0,1.061,0.0,2.0,0.461,1.0,2.0,0.829,0.0,1.0,0.299,1.0,3.0,1.587,1.0,3.0,1.073,15.0,23.0,16.655,1800.0,1800.0,1670.1,0.0,1.0,0.325,20.0,20.0,13.5,20.0,20.0,20,0.0,0.0,0,5.0,5.0,5,60.0,90.0,57.91,600.0,600.0,600,600.0,800.0,608,0.0,0.0,0,10.0,10.0,10,1300.0,1300.0,1300,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,0.583,,,,100.0,200.0,76,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,12.0,12.0,12,0.0,30.0,4.41,3000.0,3000.0,3000,0.0,1.0,0.121,0.0,1.0,0.25,0.0,0.0,0.046,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,3.0,3,0.0,2.0,0.486,0.0,1.0,0.088,1.0,3.0,0.933,0.0,1.0,0.348,1.0,2.0,0.667,0.0,1.0,0.245,1.0,3.0,1.337,1.0,2.0,0.896,15.0,22.0,15.85,1800.0,1800.0,1705.65,0.0,1.0,0.272,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,7.0,7.0,7,80.0,110.0,87.69,900.0,900.0,900,800.0,1100.0,826.5,0.0,3.0,1.08,15.0,15.0,15,1300.0,1300.0,1300,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,0.611,,,,0.0,200.0,59.3,150.0,150.0,109.2,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,10.0,10.0,10,0.0,30.0,9.78,,,,0.0,1.0,0.096,0.0,1.0,0.245,0.0,0.0,0.048,1500.0,1500.0,1500,0.0,3.0,1.08,0.0,1.0,0.323,0.0,1.0,0.36,0.0,1.0,0.317,,,,,,,,,
4,3.0,3.0,3,0.5,2.0,0.62,0.0,1.0,0.119,1.0,3.0,1.126,0.0,2.0,0.461,1.0,2.0,0.798,0.0,1.0,0.268,2.0,3.0,1.595,1.0,3.0,1.013,15.0,24.0,16.808,1800.0,2250.0,1801.8,0.0,1.0,0.327,30.0,30.0,20.19,20.0,20.0,20,0.0,0.0,0,9.0,9.0,9,140.0,160.0,137.06,2700.0,2700.0,2700,950.0,1250.0,949.4,0.0,3.0,1.08,20.0,20.0,20,1300.0,1300.0,1300,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,0.614,,,,100.0,200.0,72.9,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,12.0,12.0,12,0.0,30.0,9.18,,,,0.0,1.0,0.098,0.0,1.0,0.241,0.0,0.0,0.047,,,,,,,,,,,,,,,,,,,,,,,,
5,3.0,3.0,3,0.0,2.0,0.497,0.0,1.0,0.08,1.0,2.0499999999999545,0.906,0.0,1.0,0.362,1.0,2.0,0.672,0.0,1.0,0.225,1.0,3.0,1.383,1.0,2.0,0.875,15.0,22.0,15.891,1800.0,2250.0,1873.2,0.0,1.0,0.307,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,12.0,12.0,12,160.0,180.0,163.07,250.0,250.0,250,1200.0,1500.0,1196.7,0.0,3.0,1.08,25.0,25.0,25,1300.0,1300.0,1300,9000.0,9000.0,9000,12750.0,12750.0,12750,1.0,1.0,0.575,,,,0.0,200.0,58.7,200.0,200.0,138.6,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,10.0,10.0,10,0.0,30.0,6.01,,,,0.0,1.0,0.105,0.0,1.0,0.267,0.0,1.0,0.053,,,,,,,,,,,,,,,,,,,,,,,,
6,3.0,3.0,3,0.0,2.0,0.595,0.0,1.0,0.102,1.0,3.0,1.105,0.0,1.0499999999999545,0.389,1.0,2.0,0.804,0.0,1.0,0.284,2.0,3.0499999999999545,1.664,1.0,3.0,1.057,10.0,18.0,11.748,1800.0,2250.0,1912.2,0.0,1.0,0.278,40.0,40.0,28.88,20.0,20.0,20,0.0,0.0,0,14.0,14.0,14,210.0,240.0,214.12,2050.0,2050.0,2050,1300.0,1650.0,1314,0.0,3.0,1.08,30.0,30.0,30,1300.0,1300.0,1300,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,0.61,,,,100.0,200.0,67.3,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,12.0,12.0,12,0.0,30.0,2.17,,,,0.0,1.0,0.103,0.0,1.0,0.24,0.0,0.0,0.047,,,,,,,,,,,,,,,,,,,,,,,,
7,3.0,3.0,3,0.0,2.0,0.459,0.0,1.0,0.086,1.0,2.0,0.909,0.0,1.0,0.358,1.0,2.0,0.655,0.0,1.0,0.216,1.0,3.0,1.377,1.0,2.0,0.94,14.0,22.0,14.475,1800.0,2250.0,1905.3,0.0,1.0,0.28,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,16.0,16.0,16,240.0,280.0,236.58,850.0,850.0,850,1970.0,2372.4999999999977,1943.4,0.0,3.0,1.08,0.0,0.0,0,1300.0,1300.0,1300,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,0.604,200.0,200.0,200,0.0,200.0,57.4,350.0,350.0,252,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,70.0,70.0,56,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,10.0,10.0,10,0.0,30.0,2.46,3000.0,3000.0,3000,0.0,1.0,0.104,0.0,1.0,0.244,0.0,0.0,0.048,,,,,,,,,,,,,,,,70.0,70.0,70,50.0,50.0,36,,,
8,3.0,3.0,3,0.0,2.0,0.487,0.0,1.0,0.105,1.0,2.0,0.882,0.0,2.0,0.374,1.0,2.0,0.67,0.0,1.0,0.216,1.0,3.0,1.34,1.0,2.0,0.926,10.0,18.0,10.953,1800.0,2250.0,1899.3,0.0,1.0,0.288,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,18.0,18.0,18,260.0,330.0,258.91,650.0,650.0,650,2120.0,2520.0,2073.6,3.0,6.0,2.064,0.0,0.0,0,800.0,800.0,800,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,0.591,,,,0.0,200.0,59,100.0,100.0,71.2,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,0.0,2.33,,,,0.0,1.0,0.113,0.0,1.0,0.238,0.0,1.0,0.058,1500.0,1500.0,1500,0.0,3.0,0.984,0.0,1.0,0.341,0.0,1.0,0.328,0.0,1.0,0.331,,,,,,,,,
9,3.0,3.0,3,0.0,2.0,0.477,0.0,1.0,0.09,1.0,2.0,0.894,0.0,2.0,0.378,1.0,2.0,0.693,0.0,1.0,0.232,1.0,3.0,1.324,1.0,2.0,0.912,10.0,17.0,10.993,1800.0,2250.0,1900.2,0.0,1.0,0.295,20.0,20.0,14.1,20.0,20.0,20,1.0,1.0,1,20.0,20.0,20,300.0,370.0,296.19,1950.0,1950.0,1950,2120.0,2620.0,2134.6,3.0,6.0,2.064,0.0,0.0,0,800.0,800.0,800,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,0.589,,,,0.0,200.0,61,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,50.0,3.18,,,,0.0,1.0,0.101,0.0,1.0,0.272,0.0,0.0,0.038,,,,,,,,,,,,,,,,,,,,,,,,
10,3.0,3.0,3,0.0,2.0,0.509,0.0,1.0,0.082,1.0,2.0,0.903,0.0,1.0,0.352,1.0,2.0,0.679,0.0,1.0,0.212,1.0,3.0,1.361,1.0,2.0,0.902,10.0,17.0,10.888,1800.0,2250.0,1908.75,0.0,1.0,0.282,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,22.0,22.0,22,320.0,390.0,319.04,250.0,250.0,250,2320.0,2770.0,2298.7,3.0,6.0,2.064,0.0,0.0,0,800.0,800.0,800,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,0.595,,,,0.0,200.0,56.4,150.0,150.0,107.7,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,50.0,2.85,3000.0,3000.0,3000,0.0,1.0,0.095,0.0,1.0,0.261,0.0,0.0,0.049,,,,,,,,,,,,,,,,,,,,,,,,
