day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_decor_kept_cat_tree_p50,board_decor_kept_cat_tree_p95,board_decor_kept_cat_tree_mean,board_decor_kept_cherry_tree_p50,board_decor_kept_cherry_tree_p95,board_decor_kept_cherry_tree_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,workshop_box_opened_p50,workshop_box_opened_p95,workshop_box_opened_mean,workshop_gift_accessory_p50,workshop_gift_accessory_p95,workshop_gift_accessory_mean,workshop_gift_flower_p50,workshop_gift_flower_p95,workshop_gift_flower_mean,diamonds_in_board_milestone_p50,diamonds_in_board_milestone_p95,diamonds_in_board_milestone_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,love_petals_in_workshop_dupe_p50,love_petals_in_workshop_dupe_p95,love_petals_in_workshop_dupe_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,gold_in_adoption_p50,gold_in_adoption_p95,gold_in_adoption_mean
1,3.0,3.0,3,0.0,1.0,0.2,1.0,3.0,0.92,0.0,1.0,0.46,0.0,2.0,0.36,2.0,4.0,2.24,1.0,3.0,0.94,1.0,4.0,1.58,0.0,2.0,0.64,3.0,5.0,2.8,2.0,5.0,2.24,20.0,34.0,22.1,1500.0,1500.0,1500,0.0,1.0,0.24,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,2.0,2.0,2,20.0,20.0,20,2262.0,2262.0,2262,450.0,500.0,436,0.0,0.0,0,5.0,5.0,5,1980.0,1980.0,1980,1782.0,1782.0,1782,1500.0,1500.0,1500,1.0,1.0,1,300.0,300.0,300,0.0,50.0,10,100.0,100.0,76,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,3.0,3,0.0,2.0,0.44,1.0,3.0,0.86,0.0,1.0,0.28,0.0,1.5499999999999972,0.46,3.0,5.549999999999997,2.64,1.0,3.0,1.16,1.0,3.0,1.36,1.0,2.0,0.72,2.0,4.0,2.08,2.0,4.0,2.14,23.5,33.55,23.66,1500.0,1500.0,1500,0.0,1.0,0.32,20.0,20.0,13.6,20.0,20.0,20,0.0,0.0,0,4.0,4.0,4,60.0,60.0,53.6,24.0,24.0,24,500.0,650.0,523,0.0,0.0,0,10.0,10.0,10,1980.0,1980.0,1980,1782.0,1782.0,1782,6000.0,6000.0,6000,1.0,1.0,0.56,,,,50.0,100.0,37,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,0.0,0.5499999999999972,0.06,0.0,1.0,0.26,0.0,1.0,0.12,1.0,1.0,1,1.0,1.0,0.72,0.0,1.0,0.28,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,3.0,3,0.0,2.0,0.5,0.0,2.0,0.58,0.0,1.0,0.1,0.0,2.0,0.54,3.0,5.0,2.64,1.0,2.549999999999997,1.18,1.0,3.0,1.28,1.0,2.0,0.9,2.0,4.0,2.2,2.0,4.0,1.76,23.5,40.099999999999994,23.64,1500.0,1500.0,1500,0.0,1.0,0.24,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,4.0,4.0,4,110.0,110.0,103.6,3786.0,3786.0,3786,750.0,950.0,757,0.0,0.0,0,15.0,15.0,15,1980.0,1980.0,1980,1782.0,1782.0,1782,,,,1.0,1.0,0.64,,,,50.0,150.0,70,150.0,150.0,114,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,0.0,1.0,0.14,0.0,1.0,0.18,0.0,0.0,0.04,,,,,,,,,,30.0,30.0,30,,,,,,,,,,,,,,,,,,,,,
4,3.0,3.0,3,0.0,2.0,0.58,0.0,1.0,0.38,0.0,1.0,0.12,1.0,2.0,0.72,2.5,5.0,2.5,1.0,3.0,1.24,1.0,4.0,1.46,1.0,2.0,0.86,2.0,4.549999999999997,1.94,1.5,4.0,1.7,26.0,36.64999999999999,25.88,1500.0,1500.0,1500,0.0,1.0,0.24,30.0,30.0,22.8,20.0,20.0,20,0.0,0.0,0,5.0,5.0,5,160.0,160.0,147.6,3298.0,3298.0,3298,850.0,1127.4999999999998,887,0.0,5.499999999999972,0.6,20.0,20.0,20,1980.0,1980.0,1980,1782.0,1782.0,1782,4250.0,4250.0,4250,0.0,1.0,0.46,,,,50.0,200.0,80,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,0.0,1.0,0.1,0.0,1.0,0.36,0.0,1.0,0.08,1.0,1.0,1,1.0,1.0,0.62,0.0,1.0,0.32,,,,0.0,0.0,1.2,0.0,5.499999999999972,0.6,,,,,,,,,,,,,,,
5,3.0,3.0,3,0.0,2.0,0.52,0.0,1.0,0.12,0.0,0.0,0.04,0.0,1.5499999999999972,0.36,2.5,4.0,2.58,1.0,2.0,1.08,1.0,4.0,1.58,1.0,2.549999999999997,0.9,2.0,5.0,2.06,2.0,3.549999999999997,1.92,21.0,33.0,22.58,1500.0,1500.0,1500,0.0,1.0,0.26,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,6.0,6.0,6,210.0,240.0,201.2,2810.0,2810.0,2810,1200.0,1477.4999999999998,1176,0.0,5.499999999999972,0.6,25.0,25.0,25,1980.0,1980.0,1980,1782.0,1782.0,1782,4250.0,4250.0,4250,1.0,1.0,0.64,,,,100.0,177.49999999999986,91,200.0,200.0,148,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,0.0,0.5499999999999972,0.06,0.0,1.0,0.24,0.0,0.5499999999999972,0.06,,,,,,,,,,30.0,30.0,30,0.0,30.0,3.6,,,,,,,,,,,,,,,,,,
6,3.0,3.0,3,0.0,2.0,0.56,0.0,0.5499999999999972,0.06,,,,0.0,1.5499999999999972,0.46,3.0,5.0,2.74,1.0,3.0,1.32,1.0,3.0,1.32,1.0,2.0,0.78,2.0,3.549999999999997,1.92,2.0,3.0,1.9,18.0,28.099999999999994,18.62,1500.0,1500.0,1500,0.0,1.0,0.34,40.0,40.0,26.4,20.0,20.0,20,0.0,0.0,0,7.0,7.0,7,260.0,300.0,254.8,2322.0,2322.0,2322,1350.0,1600.0,1328,0.0,10.0,1.9,30.0,30.0,30,1980.0,1980.0,1980,1782.0,1782.0,1782,4250.0,4250.0,4250,1.0,1.0,0.64,,,,100.0,227.49999999999986,102,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,22,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,0.0,0.0,0.04,0.0,1.0,0.28,0.0,0.0,0.04,1.0,1.0,1,1.0,1.0,0.66,0.0,1.0,0.24,,,,0.0,30.0,7.2,0.0,18.249999999999957,3.3,,,,,,,,,,,,,,,
7,3.0,3.0,3,0.0,1.5499999999999972,0.5,0.0,0.0,0.02,,,,0.0,1.0,0.44,2.0,4.549999999999997,2.38,1.0,3.0,1.4,1.0,4.0,1.48,1.0,3.0,0.86,2.0,4.549999999999997,1.86,2.0,4.549999999999997,2.08,20.0,29.749999999999986,21.46,1500.0,1500.0,1500,0.0,1.0,0.18,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,8.0,8.0,8,280.0,320.0,278.4,1834.0,1834.0,1834,2070.0,2320.0,2047,0.0,10.0,1.9,0.0,0.0,0,1980.0,1980.0,1980,1782.0,1782.0,1782,4250.0,4250.0,4250,1.0,1.0,0.64,200.0,200.0,200,100.0,200.0,112,350.0,350.0,287,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,70.0,70.0,61,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,0.0,1.0,0.1,0.0,1.0,0.12,0.0,1.0,0.14,,,,,,,,,,,,,0.0,30.0,3.6,,,,70.0,70.0,70,50.0,50.0,41,,,,,,,,,
8,3.0,3.0,3,0.5,2.0,0.62,0.0,0.0,0.06,,,,0.0,2.0,0.52,2.0,5.0,1.98,1.0,3.0,1.26,1.0,3.0,1.04,1.0,3.0,1.14,2.0,3.549999999999997,1.8,2.0,4.0,1.64,16.0,32.099999999999994,17.84,1500.0,1500.0,1500,0.0,1.0,0.28,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,9.0,9.0,9,305.0,340.0,301.4,719.0,719.0,719,2370.0,2620.0,2286,0.0,10.0,2.4,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4250.0,4250.0,4250,1.0,1.0,0.6,,,,100.0,200.0,117,100.0,100.0,72,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20.6,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,0.0,0.04,0.0,1.0,0.34,0.0,0.0,0.02,1.0,1.0,1,1.0,1.0,0.54,0.0,1.0,0.38,,,,0.0,30.0,3,0.0,10.0,1.1,,,,,,,,,,,,,,,
9,3.0,3.0,3,0.0,2.0,0.52,,,,,,,0.0,1.0,0.3,3.0,4.549999999999997,2.46,1.0,3.0,0.96,1.0,3.0,1.4,1.0,2.0,0.94,1.0,4.0,1.54,2.0,4.0,1.88,14.0,26.549999999999997,16.28,1500.0,1500.0,1500,0.0,1.0,0.18,20.0,20.0,16.4,20.0,20.0,20,0.0,0.0,0,9.0,9.0,9,340.0,380.0,337.8,3854.0,3854.0,3854,2470.0,2770.0,2431,0.0,10.0,2.4,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,,,,1.0,1.0,0.52,,,,100.0,200.0,95,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,1.0,0.16,0.0,1.0,0.26,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3.0,3.0,3,0.0,2.0,0.64,,,,,,,0.0,2.0,0.56,2.0,4.0,2.14,1.0,2.0,1,1.0,3.0,1.28,0.5,2.549999999999997,0.74,2.0,4.0,1.96,2.0,4.0,1.68,18.5,28.549999999999997,18.6,1500.0,1500.0,1500,0.0,1.0,0.38,0.0,0.0,0,20.0,20.0,20,0.0,0.0,0,10.0,10.0,10,370.0,400.0,362.6,2739.0,2739.0,2739,3020.0,3297.5,2961,0.0,15.499999999999972,4.6,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4250.0,4250.0,4250,1.0,1.0,0.6,300.0,300.0,300,75.0,200.0,87,150.0,150.0,93,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,21,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,0.0,0.02,0.0,1.0,0.28,0.0,1.0,0.1,1.0,1.0,1,0.0,1.0,0.4,0.0,1.0,0.38,,,,0.0,30.0,4.8,0.0,10.0,3.2,,,,,,,,,,,,,,,
