day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_decor_kept_cat_tree_p50,board_decor_kept_cat_tree_p95,board_decor_kept_cat_tree_mean,board_decor_kept_cherry_tree_p50,board_decor_kept_cherry_tree_p95,board_decor_kept_cherry_tree_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,workshop_box_opened_p50,workshop_box_opened_p95,workshop_box_opened_mean,workshop_gift_accessory_p50,workshop_gift_accessory_p95,workshop_gift_accessory_mean,workshop_gift_flower_p50,workshop_gift_flower_p95,workshop_gift_flower_mean,diamonds_in_board_milestone_p50,diamonds_in_board_milestone_p95,diamonds_in_board_milestone_mean,love_petals_in_workshop_dupe_p50,love_petals_in_workshop_dupe_p95,love_petals_in_workshop_dupe_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,gold_in_adoption_fallback_p50,gold_in_adoption_fallback_p95,gold_in_adoption_fallback_mean
1,3.0,3.0,3,0.0,1.0,0.34,1.0,2.549999999999997,0.86,0.0,1.0,0.42,0.0,1.5499999999999972,0.36,2.0,5.0,2.12,1.0,2.549999999999997,0.86,1.0,4.099999999999994,1.52,0.0,2.0,0.52,3.0,6.0,2.96,2.0,4.549999999999997,2.08,15.0,26.84999999999998,16.92,1500.0,1500.0,1500,0.0,1.0,0.24,0.0,0.0,0,0.0,0.0,0,2.0,2.0,2,0.0,0.0,0,2262.0,2262.0,2262,350.0,400.0,343,0.0,0.0,0,5.0,5.0,5,1980.0,1980.0,1980,1782.0,1782.0,1782,1500.0,1500.0,1500,1.0,1.0,1,300.0,300.0,300,0.0,50.0,5,100.0,100.0,76,50.0,50.0,50,100.0,100.0,88,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,1.76,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,10.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,3.0,3,0.0,2.0,0.48,1.0,3.0,1,0.0,1.0,0.32,0.0,1.0,0.36,2.0,4.0,2.12,1.0,3.0,1.18,2.0,3.549999999999997,1.74,1.0,3.0,0.82,2.0,4.549999999999997,2.16,2.0,4.0,2.14,17.0,28.549999999999997,18.5,1500.0,1500.0,1500,0.0,1.0,0.36,20.0,20.0,12.8,0.0,0.0,0,4.0,4.0,4,20.0,20.0,13.4,24.0,24.0,24,300.0,427.4999999999999,327,0.0,0.0,0,10.0,10.0,10,1980.0,1980.0,1980,1782.0,1782.0,1782,6000.0,6000.0,6000,0.0,1.0,0.44,,,,0.0,127.49999999999986,34,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,0.0,0.0,0.6,0.0,0.5499999999999972,0.06,0.0,1.0,0.42,0.0,1.0,0.08,1.0,1.0,1,1.0,1.0,0.68,0.0,1.0,0.32,,,,,,,,,,,,,,,,,,
3,3.0,3.0,3,0.0,2.0,0.46,1.0,2.0,0.66,0.0,1.0,0.18,0.0,1.0,0.46,3.0,5.0,2.6,1.0,3.0,1.36,1.0,4.0,1.48,1.0,2.549999999999997,0.94,2.0,4.0,1.88,2.0,4.0,1.82,17.5,27.549999999999997,18.12,1500.0,1500.0,1500,0.0,1.0,0.22,0.0,0.0,0,0.0,0.0,0,4.0,4.0,4,50.0,50.0,43.4,3786.0,3786.0,3786,475.0,627.4999999999999,467,0.0,0.0,0,15.0,15.0,15,1980.0,1980.0,1980,1782.0,1782.0,1782,,,,1.0,1.0,0.58,,,,50.0,200.0,73,150.0,150.0,117,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,,,,0.0,1.0,0.12,0.0,1.0,0.24,0.0,0.5499999999999972,0.06,,,,,,,,,,30.0,30.0,30,,,,,,,,,,,,,,,
4,3.0,3.0,3,1.0,1.5499999999999972,0.64,0.0,1.0,0.26,0.0,0.0,0.04,1.0,2.0,0.7,3.0,5.0,2.62,1.0,3.0,1.16,1.0,4.0,1.4,1.0,2.549999999999997,0.96,1.0,3.549999999999997,1.68,2.0,4.0,1.84,21.0,29.0,20.54,1500.0,1500.0,1500,0.0,1.0,0.24,30.0,30.0,22.8,0.0,0.0,0,5.0,5.0,5,60.0,100.99999999999994,68.6,3298.0,3298.0,3298,500.0,700.0,508,0.0,5.499999999999972,0.6,20.0,20.0,20,1980.0,1980.0,1980,1782.0,1782.0,1782,4250.0,4250.0,4250,1.0,1.0,0.52,,,,100.0,227.49999999999986,91,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,0.0,30.0,2.4,0.0,1.0,0.08,0.0,1.0,0.34,0.0,0.5499999999999972,0.06,1.0,1.0,1,1.0,1.0,0.6,0.0,1.0,0.34,,,,0.0,5.499999999999972,0.6,,,,,,,,,,,,
5,3.0,3.0,3,0.0,2.0,0.6,0.0,1.0,0.12,0.0,0.0,0.02,0.0,1.0,0.36,2.0,4.0,2.34,1.0,2.0,1.24,1.5,3.0,1.6,1.0,3.0,1.16,2.0,4.0,1.92,2.0,3.0,1.78,16.0,27.0,17.38,1500.0,1500.0,1500,0.0,1.0,0.26,0.0,0.0,0,0.0,0.0,0,6.0,6.0,6,100.0,140.0,100.4,2810.0,2810.0,2810,750.0,950.0,719,0.0,5.499999999999972,0.6,25.0,25.0,25,1980.0,1980.0,1980,1782.0,1782.0,1782,4250.0,4250.0,4250,0.5,1.0,0.5,,,,100.0,200.0,113,200.0,200.0,148,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,0.0,30.0,3,0.0,1.0,0.12,0.0,1.0,0.3,0.0,1.0,0.08,,,,,,,,,,30.0,30.0,28.8,,,,,,,,,,,,,,,
6,3.0,3.0,3,0.5,2.0,0.6,0.0,0.0,0.06,,,,0.0,2.0,0.36,3.0,4.549999999999997,2.5,1.0,3.0,1.26,1.0,3.0,1.36,1.0,2.0,0.74,2.0,4.0,2.02,2.0,4.549999999999997,2.16,9.5,24.0,12.78,1500.0,1500.0,1500,0.0,1.0,0.24,40.0,40.0,30.4,0.0,0.0,0,7.0,7.0,7,130.0,180.0,138,2322.0,2322.0,2322,800.0,1000.0,766,0.0,10.0,1.7,30.0,30.0,30,1980.0,1980.0,1980,1782.0,1782.0,1782,4250.0,4250.0,4250,1.0,1.0,0.58,,,,100.0,177.49999999999986,97,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,0.0,0.0,0.8,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,0.0,30.0,6,0.0,1.0,0.1,0.0,1.0,0.26,0.0,0.5499999999999972,0.06,1.0,1.0,1,1.0,1.0,0.56,0.0,1.0,0.28,0.0,0.0,1.2,0.0,10.0,1.9,,,,,,,,,,,,
7,3.0,3.0,3,0.5,2.0,0.62,0.0,0.0,0.04,0.0,0.0,0.02,0.0,2.549999999999997,0.64,2.0,4.0,2.4,1.0,3.0,1.48,1.0,3.0,1.48,1.0,3.0,0.9,1.0,4.0,1.64,2.0,4.0,1.84,17.0,33.64999999999999,18.12,1500.0,1500.0,1500,0.0,1.0,0.3,0.0,0.0,0,0.0,0.0,0,8.0,8.0,8,150.0,180.0,144.6,1834.0,1834.0,1834,1370.0,1720.0,1347,0.0,10.0,1.7,0.0,0.0,0,1980.0,1980.0,1980,1782.0,1782.0,1782,4250.0,4250.0,4250,1.0,1.0,0.62,200.0,200.0,200,100.0,227.49999999999986,116,350.0,350.0,245,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,50.0,50.0,35,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,0.0,30.0,6.6,0.0,1.0,0.08,0.0,1.0,0.3,,,,,,,,,,,,,,,,,,,70.0,70.0,70,50.0,50.0,35,,,,,,
8,3.0,3.0,3,0.0,1.0,0.44,,,,,,,0.0,2.0,0.52,2.5,4.549999999999997,2.42,1.0,3.0,1.34,1.0,3.0,1.2,1.0,2.549999999999997,1,2.0,3.0,1.66,1.0,3.549999999999997,1.42,9.0,23.549999999999997,12.58,1500.0,1500.0,1500,0.0,1.0,0.34,0.0,0.0,0,0.0,0.0,0,9.0,9.0,9,150.0,180.0,147.6,719.0,719.0,719,1520.0,1870.0,1480,0.0,10.0,2.5,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4250.0,4250.0,4250,1.0,1.0,0.56,,,,100.0,227.49999999999986,117,100.0,100.0,66,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,30.0,3,0.0,1.0,0.12,0.0,1.0,0.24,0.0,1.0,0.08,1.0,1.0,1,1.0,1.0,0.62,0.0,1.0,0.3,,,,0.0,10.0,0.8,,,,,,,,,,,,
9,3.0,3.0,3,0.0,1.5499999999999972,0.42,,,,,,,0.0,1.5499999999999972,0.4,3.0,4.0,2.36,1.0,3.0,1.2,1.0,3.0,1.36,1.0,2.549999999999997,0.88,2.0,4.0,1.68,2.0,3.0,1.7,10.0,23.64999999999999,12,1500.0,1500.0,1500,0.0,1.0,0.2,20.0,20.0,16,0.0,0.0,0,9.0,9.0,9,170.0,200.0,163.6,3854.0,3854.0,3854,1595.0,1947.4999999999998,1534,0.0,10.0,2.5,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,,,,1.0,1.0,0.52,,,,100.0,200.0,104,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,,,,0.0,1.0,0.16,0.0,1.0,0.26,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3.0,3.0,3,0.0,2.0,0.52,,,,,,,0.0,2.0,0.52,2.0,3.549999999999997,2.12,1.0,2.0,0.88,1.5,4.0,1.56,1.0,2.0,0.78,2.0,5.0,1.86,1.0,4.0,1.76,10.5,25.099999999999994,12.98,1500.0,1500.0,1500,0.0,1.0,0.36,0.0,0.0,0,0.0,0.0,0,10.0,10.0,10,170.0,200.0,167.2,2739.0,2739.0,2739,1970.0,2420.0,1963,0.0,10.0,4.4,0.0,0.0,0,1650.0,1650.0,1650,1485.0,1485.0,1485,4250.0,4250.0,4250,1.0,1.0,0.72,300.0,300.0,300,75.0,150.0,83,150.0,150.0,96,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,0.0,10.999999999999943,1.2,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,30.0,3.6,0.0,0.5499999999999972,0.06,0.0,1.0,0.14,0.0,1.0,0.08,1.0,1.0,1,0.0,1.0,0.46,0.0,1.0,0.32,,,,0.0,18.249999999999957,3.1,,,,,,,,,,,,
