day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_decor_kept_cat_tree_p50,board_decor_kept_cat_tree_p95,board_decor_kept_cat_tree_mean,board_decor_kept_cherry_tree_p50,board_decor_kept_cherry_tree_p95,board_decor_kept_cherry_tree_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,diamonds_in_board_milestone_p50,diamonds_in_board_milestone_p95,diamonds_in_board_milestone_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean,cats_out_adoption_p50,cats_out_adoption_p95,cats_out_adoption_mean,love_petals_in_adoption_p50,love_petals_in_adoption_p95,love_petals_in_adoption_mean
1,3.0,3.0,3,0.0,1.0,0.38,1.0,3.0,1,0.0,1.0,0.34,0.0,1.0,0.34,2.0,4.549999999999997,2.16,1.0,3.0,1,1.0,4.0,1.52,0.0,2.0,0.42,3.0,5.549999999999997,2.92,2.0,4.549999999999997,2.02,15.0,23.0,16.68,1500.0,1500.0,1500,0.0,1.0,0.24,0.0,0.0,0,0.0,0.0,0,3.0,3.0,3,0.0,0.0,0,1800.0,1800.0,1800,350.0,400.0,342,0.0,0.0,0,5.0,5.0,5,1300.0,1300.0,1300,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,1,300.0,300.0,300,0.0,50.0,4,100.0,100.0,76,50.0,50.0,50,100.0,100.0,88,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,1.76,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,10.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,3.0,3,0.0,2.0,0.52,1.0,2.0,0.92,0.0,1.0,0.32,0.0,2.0,0.44,2.5,5.549999999999997,2.84,1.0,3.0,1.2,1.0,3.0,1.4,1.0,2.0,0.68,2.0,5.0,2.14,2.0,3.0,1.78,16.0,29.099999999999994,18.52,1500.0,1800.0,1632,0.0,1.0,0.34,20.0,20.0,13.2,0.0,0.0,0,5.0,5.0,5,20.0,40.99999999999994,16.8,600.0,600.0,600,300.0,400.0,324,0.0,0.0,0,10.0,10.0,10,1300.0,1300.0,1300,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,0.6,,,,25.0,100.0,32,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,0.0,30.0,3.6,3000.0,3000.0,3000,0.0,1.0,0.08,0.0,1.0,0.28,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,3.0,3,0.0,2.0,0.42,1.0,2.0,0.76,0.0,1.0,0.24,0.0,1.5499999999999972,0.52,2.0,6.549999999999997,2.6,1.0,3.0,1.34,1.0,4.0,1.48,1.0,2.0,0.76,2.0,4.0,1.9,2.0,4.549999999999997,1.98,18.0,28.64999999999999,18.74,1800.0,1800.0,1665,0.0,1.0,0.32,0.0,0.0,0,0.0,0.0,0,7.0,7.0,7,50.0,80.0,56.4,900.0,900.0,900,450.0,577.4999999999999,431,0.0,3.0,1.38,15.0,15.0,15,1300.0,1300.0,1300,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,0.56,,,,50.0,150.0,55,150.0,150.0,102,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,0.0,30.0,9.6,,,,0.0,1.0,0.18,0.0,1.0,0.22,0.0,0.0,0.04,30.0,30.0,30,1500.0,1500.0,1500,0.0,3.0,1.38,0.0,1.0,0.2,0.0,1.0,0.46,0.0,1.0,0.34,,,,,,,,,,,,,,,
4,3.0,3.0,3,0.0,2.0,0.54,0.0,1.0,0.24,0.0,0.0,0.04,0.0,2.0,0.62,2.0,5.549999999999997,2.44,1.0,3.0,1.4,1.5,4.0,1.74,1.0,2.549999999999997,0.84,2.0,3.549999999999997,1.78,2.0,3.0,1.64,19.0,32.099999999999994,19.58,1800.0,2250.0,1770,0.0,1.0,0.34,30.0,30.0,19.8,0.0,0.0,0,9.0,9.0,9,90.0,110.0,83.4,2700.0,2700.0,2700,450.0,650.0,479,0.0,3.0,1.38,20.0,20.0,20,1300.0,1300.0,1300,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,0.6,,,,100.0,200.0,98,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,0.0,30.0,7.2,,,,0.0,0.5499999999999972,0.06,0.0,1.0,0.28,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.0,3.0,3,0.5,2.0,0.6,0.0,0.0,0.04,0.0,0.0,0.02,0.0,1.0,0.44,2.0,4.549999999999997,2.44,1.0,2.549999999999997,0.94,1.0,4.0,1.48,1.0,3.0,1.14,2.0,5.0,2.16,2.0,3.0,1.8,16.0,26.549999999999997,17.84,1800.0,2250.0,1890,0.0,1.0,0.28,0.0,0.0,0,0.0,0.0,0,12.0,12.0,12,120.0,140.0,120,250.0,250.0,250,675.0,900.0,674,0.0,3.0,1.38,25.0,25.0,25,1300.0,1300.0,1300,9000.0,9000.0,9000,12750.0,12750.0,12750,1.0,1.0,0.66,,,,100.0,200.0,101,200.0,200.0,144,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,50.0,50.0,50,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,0.0,30.0,7.8,,,,0.0,1.0,0.1,0.0,1.0,0.2,0.0,0.0,0.04,30.0,30.0,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3.0,3.0,3,0.0,2.0,0.64,,,,0.0,0.0,0.02,1.0,2.0,0.7,2.0,4.0,2.26,1.0,3.0,1.18,1.0,3.549999999999997,1.54,1.0,2.549999999999997,0.88,2.0,4.0,1.82,2.0,4.0,1.98,15.0,27.549999999999997,15,1800.0,2250.0,1866,0.0,1.0,0.24,40.0,40.0,30.4,0.0,0.0,0,14.0,14.0,14,155.0,180.0,152.8,2050.0,2050.0,2050,750.0,977.4999999999999,726,0.0,3.0,1.38,30.0,30.0,30,1300.0,1300.0,1300,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,0.62,,,,100.0,200.0,102,0.0,0.0,0,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,,,,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,0.0,0.0,1.2,,,,0.0,1.0,0.08,0.0,1.0,0.22,0.0,1.0,0.08,0.0,0.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3.0,3.0,3,0.0,1.5499999999999972,0.46,0.0,0.0,0.04,0.0,0.0,0.02,1.0,2.0,0.74,2.0,5.0,2.2,1.0,3.0,1.48,1.0,3.0,1.24,1.0,2.549999999999997,0.96,1.5,3.549999999999997,1.56,2.0,4.549999999999997,2.36,18.0,30.549999999999997,19.12,1800.0,2250.0,1938,0.0,1.0,0.16,0.0,0.0,0,0.0,0.0,0,16.0,16.0,16,160.0,180.0,155.4,850.0,850.0,850,1395.0,1720.0,1359,0.0,3.0,1.38,0.0,0.0,0,1300.0,1300.0,1300,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,0.68,200.0,200.0,200,100.0,227.49999999999986,119,350.0,350.0,294,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,50.0,50.0,42,5.0,5.0,5,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,1.0,1.0,1,11.0,11.0,11,0.0,16.499999999999915,2.6,3000.0,3000.0,3000,0.0,1.0,0.1,0.0,1.0,0.18,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,,70.0,70.0,70,50.0,50.0,42,,,,,,,,,
8,3.0,3.0,3,0.0,1.5499999999999972,0.5,,,,,,,0.0,2.0,0.48,2.0,4.0,1.96,1.0,3.0,1.22,1.0,3.0,1.44,1.0,3.0,0.98,2.0,3.549999999999997,1.66,2.0,4.0,1.76,10.0,25.0,12.34,1800.0,2250.0,1866,0.0,1.0,0.42,0.0,0.0,0,0.0,0.0,0,18.0,18.0,18,160.0,180.0,157.4,650.0,650.0,650,1470.0,1797.4999999999998,1427,3.0,6.0,2.1,0.0,0.0,0,800.0,800.0,800,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,0.6,,,,100.0,200.0,110,100.0,100.0,58,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,0.0,2,,,,0.0,1.0,0.08,0.0,1.0,0.24,0.0,1.0,0.08,,,,1500.0,1500.0,1500,0.0,3.0,0.72,0.0,1.0,0.46,0.0,1.0,0.24,0.0,1.0,0.3,,,,,,,,,,,,,,,
9,3.0,3.0,3,0.0,2.0,0.54,,,,,,,0.0,1.5499999999999972,0.52,2.0,4.549999999999997,2.32,1.0,2.549999999999997,1.04,1.0,3.0,1.54,1.0,2.0,0.82,1.0,4.0,1.74,1.0,4.0,1.48,13.5,23.0,12.86,1800.0,2250.0,1881,0.0,1.0,0.3,20.0,20.0,14,0.0,0.0,0,20.0,20.0,20,180.0,230.0,174.4,1950.0,1950.0,1950,1470.0,1852.4999999999995,1420,3.0,6.0,2.1,0.0,0.0,0,800.0,800.0,800,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,0.66,,,,100.0,150.0,93,0.0,0.0,0,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,27.499999999999858,3,,,,0.0,0.5499999999999972,0.06,0.0,1.0,0.22,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3.0,3.0,3,0.0,1.5499999999999972,0.48,,,,,,,0.0,2.0,0.52,2.0,5.0,2.3,1.0,3.0,1.14,1.0,3.0,1.5,1.0,2.549999999999997,0.96,2.0,3.0,1.66,1.0,3.0,1.44,13.5,23.0,13.58,2025.0,2250.0,1965,0.0,1.0,0.38,0.0,0.0,0,0.0,0.0,0,22.0,22.0,22,180.0,230.0,176.4,250.0,250.0,250,1545.0,2024.9999999999995,1518,3.0,6.0,2.1,0.0,0.0,0,800.0,800.0,800,9000.0,9000.0,9000,8500.0,8500.0,8500,0.0,1.0,0.44,,,,100.0,227.49999999999986,105,150.0,150.0,93,,,,100.0,100.0,100,24.0,24.0,24,,,,,,,,,,1500.0,1500.0,1500,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,1.0,1.0,1,10.0,10.0,10,0.0,0.0,2,3000.0,3000.0,3000,0.0,1.0,0.1,0.0,1.0,0.4,0.0,0.5499999999999972,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
