day,ad_views_p50,ad_views_p95,ad_views_mean,board_consolation_p50,board_consolation_p95,board_consolation_mean,board_reward_cat_can_pack_x3_p50,board_reward_cat_can_pack_x3_p95,board_reward_cat_can_pack_x3_mean,board_reward_cat_can_x1_p50,board_reward_cat_can_x1_p95,board_reward_cat_can_x1_mean,board_reward_cat_tree_x1_p50,board_reward_cat_tree_x1_p95,board_reward_cat_tree_x1_mean,board_reward_cat_wand_x1_p50,board_reward_cat_wand_x1_p95,board_reward_cat_wand_x1_mean,board_reward_cherry_tree_x1_p50,board_reward_cherry_tree_x1_p95,board_reward_cherry_tree_x1_mean,board_reward_fish_treat_x1_p50,board_reward_fish_treat_x1_p95,board_reward_fish_treat_x1_mean,board_reward_yarn_ball_x1_p50,board_reward_yarn_ball_x1_p95,board_reward_yarn_ball_x1_mean,cat_affection_gain_p50,cat_affection_gain_p95,cat_affection_gain_mean,cat_xp_gain_p50,cat_xp_gain_p95,cat_xp_gain_mean,checkin_missed_p50,checkin_missed_p95,checkin_missed_mean,diamonds_in_achievement_p50,diamonds_in_achievement_p95,diamonds_in_achievement_mean,diamonds_in_checkin_p50,diamonds_in_checkin_p95,diamonds_in_checkin_mean,diamonds_in_monthly_card_p50,diamonds_in_monthly_card_p95,diamonds_in_monthly_card_mean,end_board_tickets_p50,end_board_tickets_p95,end_board_tickets_mean,end_cat_count_p50,end_cat_count_p95,end_cat_count_mean,end_diamonds_p50,end_diamonds_p95,end_diamonds_mean,end_energy_pool_p50,end_energy_pool_p95,end_energy_pool_mean,end_gold_p50,end_gold_p95,end_gold_mean,end_love_petals_p50,end_love_petals_p95,end_love_petals_mean,end_spring_petals_p50,end_spring_petals_p95,end_spring_petals_mean,energy_from_steps_p50,energy_from_steps_p95,energy_from_steps_mean,energy_in_ads_p50,energy_in_ads_p95,energy_in_ads_mean,energy_out_hatching_p50,energy_out_hatching_p95,energy_out_hatching_mean,exploration_postcard_p50,exploration_postcard_p95,exploration_postcard_mean,gold_in_achievement_p50,gold_in_achievement_p95,gold_in_achievement_mean,gold_in_b6_conversion_p50,gold_in_b6_conversion_p95,gold_in_b6_conversion_mean,gold_in_checkin_p50,gold_in_checkin_p95,gold_in_checkin_mean,gold_in_monthly_card_p50,gold_in_monthly_card_p95,gold_in_monthly_card_mean,gold_in_newbie_goal_p50,gold_in_newbie_goal_p95,gold_in_newbie_goal_mean,gold_out_ticket_purchase_p50,gold_out_ticket_purchase_p95,gold_out_ticket_purchase_mean,inventory_capacity_p50,inventory_capacity_p95,inventory_capacity_mean,love_petals_in_ads_p50,love_petals_in_ads_p95,love_petals_in_ads_mean,love_petals_in_monthly_card_p50,love_petals_in_monthly_card_p95,love_petals_in_monthly_card_mean,love_petals_out_shop_p50,love_petals_out_shop_p95,love_petals_out_shop_mean,spring_petals_in_event_p50,spring_petals_in_event_p95,spring_petals_in_event_mean,steps_raw_p50,steps_raw_p95,steps_raw_mean,tickets_in_ads_p50,tickets_in_ads_p95,tickets_in_ads_mean,tickets_in_gold_p50,tickets_in_gold_p95,tickets_in_gold_mean,tickets_in_interaction_p50,tickets_in_interaction_p95,tickets_in_interaction_mean,tickets_in_login_p50,tickets_in_login_p95,tickets_in_login_mean,tickets_in_steps_p50,tickets_in_steps_p95,tickets_in_steps_mean,tickets_out_board_p50,tickets_out_board_p95,tickets_out_board_mean,energy_overflow_cutoff_p50,energy_overflow_cutoff_p95,energy_overflow_cutoff_mean,exploration_decoration_fragment_p50,exploration_decoration_fragment_p95,exploration_decoration_fragment_mean,exploration_food_fragment_p50,exploration_food_fragment_p95,exploration_food_fragment_mean,exploration_hidden_item_p50,exploration_hidden_item_p95,exploration_hidden_item_mean,gold_in_spring_conversion_p50,gold_in_spring_conversion_p95,gold_in_spring_conversion_mean,love_petals_in_checkin_chest_p50,love_petals_in_checkin_chest_p95,love_petals_in_checkin_chest_mean,energy_out_workshop_p50,energy_out_workshop_p95,energy_out_workshop_mean,energy_out_workshop_unbox_p50,energy_out_workshop_unbox_p95,energy_out_workshop_unbox_mean,love_petals_in_workshop_p50,love_petals_in_workshop_p95,love_petals_in_workshop_mean,workshop_box_cat_accessory_p50,workshop_box_cat_accessory_p95,workshop_box_cat_accessory_mean,workshop_box_flower_seed_p50,workshop_box_flower_seed_p95,workshop_box_flower_seed_mean,workshop_box_furniture_component_p50,workshop_box_furniture_component_p95,workshop_box_furniture_component_mean,gold_out_capacity_expansion_p50,gold_out_capacity_expansion_p95,gold_out_capacity_expansion_mean
1,3.0,3.0,3,0.0,2.0,0.601,0.0,1.0,0.11,1.0,3.0,1.066,0.0,2.0,0.443,1.0,2.0,0.854,0.0,1.0,0.276,2.0,3.0,1.602,1.0,3.0,1.048,15.0,23.0,15.56,5000.0,6000.0,5256,0.0,1.0,0.105,0.0,0.0,0.81,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,4.0,4.0,4,20.0,20.0,20.81,1450.0,1450.0,1450,450.0,650.0,511.4,0.0,0.0,0,25.0,25.0,25,5200.0,5200.0,5200,9000.0,9000.0,9000,12750.0,12750.0,12750,1.0,1.0,1,300.0,300.0,300,100.0,200.0,71.9,100.0,100.0,89.5,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,12.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,3.0,3,1.0,2.0,0.763,0.0,1.0,0.115,1.0,3.0,1.232,0.0,2.0,0.502,1.0,2.0,0.92,0.0,1.0,0.291,2.0,4.0,1.879,1.0,3.0,1.298,16.0,25.0,17.749,6000.0,6000.0,5573.5,0.0,1.0,0.121,0.0,30.0,13.56,20.0,20.0,17.58,20.0,20.0,20,0.0,0.0,0,7.0,7.0,7,60.0,90.0,71.95,2250.0,2250.0,2250,800.0,1000.0,840.7,0.0,0.0,0,50.0,50.0,50,5200.0,5200.0,5200,9000.0,9000.0,9000,12750.0,12750.0,12750,1.0,1.0,0.576,200.0,200.0,200,100.0,200.0,79.3,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,14.0,14.0,14,650.0,650.0,650,0.0,1.0,0.094,0.0,1.0,0.277,0.0,1.0,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,3.0,3,0.0,2.0,0.612,0.0,1.0,0.099,1.0,3.0,1.089,0.0,2.0,0.429,1.0,2.0,0.794,0.0,1.0,0.273,2.0,4.0,1.622,1.0,3.0,1.082,15.0,23.049999999999955,16.763,6000.0,7500.0,5819,0.0,1.0,0.107,0.0,30.0,11.09,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,10.0,10.0,10,110.0,110.0,103.04,2250.0,2250.0,2250,1100.0,1400.0,1094.85,0.0,0.0,0,75.0,75.0,75,5200.0,5200.0,5200,9000.0,9000.0,9000,12750.0,12750.0,12750,1.0,1.0,0.588,,,,100.0,200.0,70.2,150.0,150.0,133.95,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,12.0,12,1450.0,1450.0,1450,0.0,1.0,0.096,0.0,1.0,0.257,0.0,1.0,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3.0,3.0,3,0.0,2.0,0.659,0.0,1.0,0.143,1.0,3.0,1.31,0.0,2.0,0.454,1.0,3.0,0.926,0.0,1.0,0.297,2.0,4.0,1.929,1.0,3.0,1.282,16.0,25.0,17.904,6000.0,7500.0,6291,0.0,1.0,0.102,0.0,30.0,5.16,30.0,30.0,26.94,20.0,20.0,20,0.0,0.0,0,13.0,13.0,13,160.0,160.0,155.14,2250.0,2250.0,2250,1250.0,1550.0,1219.95,0.0,0.0,0,100.0,100.0,100,5200.0,5200.0,5200,9000.0,9000.0,9000,12750.0,12750.0,12750,1.0,1.0,0.628,,,,100.0,200.0,75.1,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,14.0,14.0,14,1450.0,1450.0,1450,0.0,1.0,0.083,0.0,1.0,0.234,0.0,1.0,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.0,3.0,3,0.0,2.0,0.614,0.0,1.0,0.098,1.0,3.0,1.05,0.0,2.0,0.452,1.0,2.0499999999999545,0.856,0.0,1.0,0.272,2.0,3.0,1.627,1.0,3.0,1.031,15.0,23.0,16.746,6000.0,7500.0,6287.5,0.0,1.0,0.093,0.0,50.0,3.29,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,16.0,16.0,16,180.0,230.0,178.43,2250.0,2250.0,2250,1500.0,1900.0,1523.75,0.0,0.0,0,125.0,125.0,125,5200.0,5200.0,5200,9000.0,9000.0,9000,12750.0,12750.0,12750,1.0,1.0,0.583,,,,100.0,200.0,72.4,200.0,200.0,181.4,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,50.0,50.0,50,20.0,20.0,20,70.0,70.0,70,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,12.0,12,1450.0,1450.0,1450,0.0,1.0,0.109,0.0,1.0,0.26,0.0,0.0,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3.0,3.0,3,1.0,2.0,0.714,0.0,1.0,0.102,1.0,3.0,1.237,0.0,2.0,0.508,1.0,2.0,0.931,0.0,1.0,0.341,2.0,4.0,1.894,1.0,3.0,1.273,11.0,19.0,12.463,5000.0,5000.0,5048,0.0,1.0,0.081,0.0,50.0,4.33,40.0,40.0,36.76,20.0,20.0,20,0.0,0.0,0,19.0,19.0,19,240.0,290.0,239.52,2250.0,2250.0,2250,1650.0,2050.0,1658.65,0.0,0.0,0,150.0,150.0,150,5200.0,5200.0,5200,9000.0,9000.0,9000,12750.0,12750.0,12750,1.0,1.0,0.606,,,,100.0,300.0,84.9,0.0,0.0,0,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,14.0,14.0,14,1450.0,1450.0,1450,0.0,1.0,0.108,0.0,1.0,0.242,0.0,0.0,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3.0,3.0,3,0.0,2.0,0.576,0.0,1.0,0.128,1.0,3.0,1.105,0.0,2.0,0.43,1.0,2.0,0.808,0.0,1.0,0.264,2.0,4.0,1.64,1.0,3.0,1.049,15.0,24.0,16.534,5000.0,6000.0,5311,0.0,1.0,0.1,0.0,50.0,4.83,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,22.0,22.0,22,260.0,310.0,264.35,2250.0,2250.0,2250,2400.0,2900.0,2443.05,0.0,0.0,0,0.0,0.0,0,5200.0,5200.0,5200,9000.0,9000.0,9000,12750.0,12750.0,12750,1.0,1.0,0.588,,,,100.0,200.0,69.4,350.0,350.0,315,100.0,100.0,100,50.0,50.0,50,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,70.0,70.0,65,25.0,25.0,25,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,3.0,3.0,3,12.0,12.0,12,1450.0,1450.0,1450,0.0,1.0,0.101,0.0,1.0,0.256,0.0,1.0,0.055,350.0,350.0,350,50.0,50.0,45,,,,,,,,,,,,,,,,,,,,,
8,3.0,3.0,3,0.0,2.0,0.662,0.0,1.0,0.085,1.0,3.0,1.054,0.0,2.0,0.441,1.0,2.0,0.838,0.0,1.0,0.262,1.0,3.0,1.549,1.0,3.0,1.109,10.0,18.0,11.525,6000.0,6000.0,5723,0.0,1.0,0.122,0.0,0.0,2.43,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,24.0,24.0,24,280.0,330.0,286.78,500.0,500.0,500,2600.0,3100.0,2606.55,0.0,0.0,0,0.0,0.0,0,4700.0,4700.0,4700,9000.0,9000.0,9000,8500.0,8500.0,8500,1.0,1.0,0.611,0.0,0.0,5.4,100.0,200.0,70.3,100.0,100.0,87.8,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,950.0,950.0,950,0.0,1.0,0.088,0.0,1.0,0.242,0.0,1.0,0.059,,,,,,,6000.0,6000.0,6000,,,,,,,,,,,,,,,,,,
9,3.0,3.0,3,0.0,2.0,0.607,0.0,1.0,0.111,1.0,3.0,1.079,0.0,2.0,0.428,1.0,2.0,0.854,0.0,1.0,0.258,2.0,4.0,1.626,1.0,3.0,1.037,10.0,19.0,11.88,6000.0,7500.0,6196.5,0.0,1.0,0.102,30.0,30.0,30,20.0,20.0,17.96,20.0,20.0,20,1.0,1.0,1,24.0,24.0,24,350.0,400.0,354.74,700.0,700.0,700,2700.0,3300.0,2725.25,0.0,3.0,0.942,0.0,0.0,0,4700.0,4700.0,4700,9000.0,9000.0,9000,,,,1.0,1.0,0.596,0.0,300.0,50.1,100.0,200.0,68.6,0.0,0.0,0,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.092,0.0,1.0,0.257,0.0,1.0,0.055,,,,,,,12000.0,12000.0,12000,1500.0,1500.0,1500,0.0,3.0,0.942,0.0,1.0,0.36,0.0,1.0,0.314,0.0,1.0,0.326,,,
10,3.0,3.0,3,0.0,2.0,0.604,0.0,1.0,0.104,1.0,3.0,1.032,0.0,2.0,0.446,1.0,2.0,0.779,0.0,1.0,0.292,2.0,3.0,1.612,1.0,3.0,1.131,10.0,18.0,11.645,7500.0,7500.0,6948.5,0.0,1.0,0.107,,,,0.0,0.0,0,20.0,20.0,20,1.0,1.0,1,24.0,24.0,24,370.0,420.0,374.74,900.0,900.0,900,3050.0,3650.0,3070.4,3.0,6.0,1.983,0.0,0.0,0,4700.0,4700.0,4700,9000.0,9000.0,9000,,,,1.0,1.0,0.626,0.0,300.0,137.4,100.0,200.0,73.8,150.0,150.0,133.95,100.0,100.0,100,,,,100.0,100.0,100,24.0,24.0,24,,,,20.0,20.0,20,20.0,20.0,20,,,,5000.0,5000.0,5000,3.0,3.0,3,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,3.0,3.0,3,12.0,12.0,12,,,,0.0,1.0,0.096,0.0,1.0,0.231,0.0,0.0,0.047,,,,,,,12000.0,12000.0,12000,1500.0,1500.0,1500,0.0,3.0,1.041,0.0,1.0,0.314,0.0,1.0,0.347,0.0,1.0,0.339,,,
